,Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,actor1_con,actor2_con,actor3_con,director_con,genre__con
1128,Anokha Anubhav,2003.0,105.0,Thriller,6.2,2029.1238422863191,Divyaa Dwivedi,Juhi Javed,Mohan Joshi,Razak Khan,6.2,6.1,5.7,6.2,5.9
1129,Anokha Aspatal,1989.0,91.0,Comedy,6.3,13.0,Mukesh Sharma,Ankur,Ajay Chadha,Paintal,6.3,6.3,6.0,6.3,5.9
1130,Anokha Bandhan,1982.0,134.0,Drama,7.4,94.0,Mehul Kumar,Shabana Azmi,Seema Deo,Aruna Irani,6.7,6.8,5.7,5.2,6.3
1131,Anokha Chamatkar,1988.0,131.11078355314197,Drama,6.2,2029.1238422863191,Krishan Malik,Birbal,Chandrashekhar,Sudhir Dalvi,5.7,5.6,5.4,6.2,6.3
1132,Anokha Daan,1972.0,131.11078355314197,Drama,7.0,9.0,Asit Sen,Anil Dhawan,Zaheera,Archana,5.8,6.4,6.6,7.0,6.3
1134,Anokha Jungle,1956.0,131.11078355314197,Action,6.2,2029.1238422863191,Sultan,Habib,Kamran,Shyam Kumar,6.1,5.8,6.2,5.7,5.7
1135,Anokha Milan,1972.0,125.0,Drama,6.3,19.0,Jagannath Chatterjee,Dharmendra,Pranoti Ghosh,Brahm Bhardwaj,5.8,6.6,6.0,6.3,6.3
1137,Anokha Moti,2000.0,86.0,"Drama, Family",6.9,16.0,Tapan Sinha,Arjun Chakraborty,Nayab Aftab,Radhika Jajodia,6.6,6.9,6.9,7.3,6.2
1139,Anokha Pyar,1948.0,131.11078355314197,Romance,6.9,44.0,M.I. Dharamsey,Dilip Kumar,Nargis,Nalini Jaywant,7.0,6.9,6.3,6.6,5.9
1140,Anokha Rishta,1986.0,131.11078355314197,Drama,7.3,47.0,I.V. Sasi,Rajesh Khanna,Smita Patil,Sabeeha,6.4,6.2,6.8,6.4,6.3
1142,Anokhe Amar Shaheed Baba Deep Singh Ji,2006.0,154.0,History,6.6,9.0,Jaswinder Chahal,Deep Dhillon,Jaswant Saggo Jas,Kashish,6.6,6.6,6.6,6.6,6.3
1143,Anokhi Ada,1948.0,141.0,"Drama, Musical, Romance",6.4,26.0,Mehboob Khan,Naseem Banu,Surendra,Prem Adib,6.2,6.4,6.3,6.8,6.4
1144,Anokhi Ada,1973.0,150.0,"Drama, Romance",4.5,44.0,Kundan Kumar,Jeetendra,Rekha,Vinod Khanna,5.3,5.7,5.9,5.4,5.9
1146,Anokhi Chaal,1995.0,131.11078355314197,"Action, Drama, Mystery",6.2,2029.1238422863191,A. Salaam,Kiran Juneja,Amjad Khan,Suresh Oberoi,6.2,5.9,5.6,5.7,5.6
1147,Anokhi Dulhan,1986.0,131.11078355314197,Drama,6.2,2029.1238422863191,Vicky Khan,Asha Lata,Paro,Pradeep Sharma,6.2,6.2,6.2,6.2,6.3
1149,Anokhi Pehchan,1972.0,131.11078355314197,"Drama, Romance",5.9,8.0,Satyen Bose,Sanjay Khan,Rakhee Gulzar,Simi Garewal,6.0,6.1,6.8,6.7,5.9
1150,Anokhi Raat,1968.0,120.0,"Crime, Drama, Mystery",7.3,94.0,Asit Sen,Sanjeev Kumar,Zaheeda,Tarun Bose,6.4,6.9,6.8,7.0,6.3
1153,Anpadh,1962.0,150.0,"Drama, Musical, Romance",6.6,105.0,Mohan Kumar,Mala Sinha,Balraj Sahni,Dharmendra,6.3,6.4,5.3,6.2,6.4
1154,Anpadh,1978.0,131.11078355314197,Drama,6.5,15.0,S.M. Sagar,Ashok Kumar,Parikshit Sahni,Zarina Wahab,6.4,6.2,6.2,5.7,6.3
1155,Ansh: The Deadly Part,2002.0,180.0,"Crime, Drama, Thriller",6.3,51.0,Rajan Johri,Om Puri,Ashutosh Rana,Abbas,6.4,5.0,5.6,5.4,6.1
1156,Ansoo Ban Gaye Phool,1969.0,145.0,"Drama, Family",7.2,26.0,Satyen Bose,Ashok Kumar,Deb Mukherjee,Alka,6.4,6.7,6.3,6.7,6.2
1157,Antaheen,1986.0,131.11078355314197,Drama,6.2,2029.1238422863191,Dinesh Lakhanpal,Seema Burman,Anang Desai,Rohini Hattangadi,6.6,5.8,6.6,6.2,6.3
1160,Antardwand,2008.0,114.0,"Crime, Drama",7.3,656.0,Sushil Rajpal,Raj Singh Chaudhary,Raja Chaudhary,Swati Sen,6.6,6.6,7.3,7.3,6.2
1161,Antarnaad,1991.0,160.0,Drama,5.5,109.0,Shyam Benegal,Girish Karnad,Kulbhushan Kharbanda,Shabana Azmi,6.7,5.8,6.2,7.2,6.3
1162,Antenna,2021.0,84.0,Drama,7.1,7.0,Shoib Nikash Shah,Imran Khan,Imran Khan,Azmat Khwaja,6.0,5.9,7.1,6.5,6.3
1163,Antervyathaa,2020.0,90.0,Drama,6.2,2029.1238422863191,Keshav Arya,Keshav Arya,Veena Chaudhary,Anuradha Khaira,6.2,6.2,6.2,6.2,6.3
1164,Anth,1994.0,136.0,Action,4.4,124.0,Sanjay Khanna,Sunil Shetty,Somy Ali,Paresh Rawal,4.6,5.0,5.4,4.7,5.7
1165,Anthony Kaun Hai?,2006.0,127.0,"Mystery, Thriller",5.2,617.0,Raj Kaushal,Sanjay Dutt,Arshad Warsi,Minissha Lamba,5.2,6.0,4.9,5.2,5.9
1166,Antim Nyay,1993.0,131.11078355314197,Action,3.3,19.0,Sukhwant Dhadda,Jackie Shroff,Neelam Kothari,Kulbhushan Kharbanda,5.2,5.0,5.8,5.2,5.7
1167,Antim: The Final Truth,2021.0,131.11078355314197,Action,6.2,2029.1238422863191,Mahesh Manjrekar,Salman Khan,Jisshu Sengupta,Nikitin Dheer,5.3,6.2,7.1,5.9,5.7
1168,Anubhav,1971.0,139.0,Drama,6.7,137.0,Basu Bhattacharya,Sanjeev Kumar,Tanuja,Dinesh Thakur,6.4,6.4,6.8,6.5,6.3
1169,Anubhav,1986.0,131.11078355314197,"Comedy, Drama, Romance",6.4,175.0,Kashinath,Shekhar Suman,Padmini Kolhapure,Padma Khanna,5.4,5.6,6.2,6.4,5.8
1170,Anubhav: An Actor's Tale,2009.0,131.11078355314197,"Drama, Romance",5.3,11.0,T. Rajeevnath,Jackie Shroff,Sanjay Suri,Gul Panag,5.2,4.2,6.4,5.3,5.9
1171,Anubhav: An Experience,2003.0,90.0,Crime,3.4,11.0,Sandeep Kumar,Afrin,Amit,Neel Arvind,3.4,3.6,3.4,5.6,5.5
1172,Anubhuti,2021.0,110.0,Drama,6.2,2029.1238422863191,Anirban Dutta,Aritraa Sengupta,Shamila Bhattacharya,Rittick Bhattacharya,6.2,6.2,6.2,6.2,6.3
1174,Anupama,1966.0,148.0,"Drama, Romance",7.4,416.0,Hrishikesh Mukherjee,Dharmendra,Sharmila Tagore,Shashikala,5.8,6.9,6.5,7.1,5.9
1175,Anuraag,1972.0,125.0,Drama,6.6,115.0,Shakti Samanta,Ashok Kumar,Nutan,Vinod Mehra,6.4,6.5,6.0,6.6,6.3
1176,Anuraag,1956.0,131.11078355314197,"Drama, Romance",6.2,2029.1238422863191,Madhusudan,Pratima Devi,Usha Kiran,Mukesh,6.2,6.6,6.2,6.2,5.9
1177,Anuradha,1960.0,141.0,"Drama, Romance",6.6,196.0,Hrishikesh Mukherjee,Balraj Sahni,Leela Naidu,Abhi Bhattacharya,6.8,6.6,6.2,7.1,5.9
1179,Anuradha,2014.0,131.11078355314197,Drama,6.2,2029.1238422863191,Raju Mavani,Hrishitaa Bhatt,Manoj Joshi,Sachin Khedekar,5.7,5.6,6.3,4.9,6.3
1181,Anuranan,2006.0,113.0,"Drama, Romance",6.7,376.0,Aniruddha Roy Chowdhury,Rahul Bose,Rituparna Sengupta,Raima Sen,5.8,5.8,6.4,7.4,5.9
1182,Anurodh,1977.0,147.0,"Drama, Family",6.8,160.0,Shakti Samanta,Rajesh Khanna,Ashok Kumar,Vinod Mehra,6.4,6.4,6.0,6.6,6.2
1183,Anwar,2007.0,144.0,"Drama, Romance, Thriller",6.6,904.0,Manish Jha,Nauheed Cyrusi,Pankaj Jha,Manisha Koirala,5.0,6.9,5.7,7.2,5.0
1184,Any Body Can Dance 2,2015.0,154.0,"Biography, Drama, Music",5.4,5733.0,Remo D'Souza,Prabhu Deva,Varun Dhawan,Shraddha Kapoor,5.4,5.9,5.1,4.1,6.1
1185,Anya The Other,2019.0,131.11078355314197,"Action, Crime",6.2,2029.1238422863191,Simmy Joseph,Rajendra Bhatia,Krutika Deo,Atul Kulkarni,6.2,6.2,5.5,6.2,5.5
1187,Anyay Hi Anyay,1997.0,131.11078355314197,"Action, Crime, Drama",6.2,2029.1238422863191,Tarun Wadhwa,Rita Bhaduri,Sulabha Deshpande,Shafi Inamdar,5.9,5.4,5.2,6.2,5.7
1189,Apaatkaal,1993.0,137.0,Action,5.7,6.0,V. Subba Rao,Aatish Devgan,Sabah,Rita Bhaduri,4.8,5.7,5.5,5.7,5.7
1190,Apaharan,2005.0,173.0,"Action, Crime, Drama",7.4,4384.0,Prakash Jha,Ajay Devgn,Nana Patekar,Bipasha Basu,5.3,6.4,5.5,6.5,5.7
1194,Apartment: Rent at Your Own Risk,2010.0,97.0,"Drama, Mystery, Thriller",3.5,231.0,Jag Mundhra,Rohit Roy,Tanushree Dutta,Neetu Chandra,4.2,3.7,5.6,5.2,5.8
1195,Aplam Chaplam,1961.0,131.11078355314197,Comedy,6.2,2029.1238422863191,Jeevan,I.S. Johar,Kumkum,Tabassum,6.4,5.9,6.2,6.2,5.9
1196,Apmaan,1982.0,131.11078355314197,Drama,5.8,8.0,Ami Asthana,Ami Asthana,Suresh Chatwal,Manik Irani,5.8,5.1,6.1,5.8,6.3
1197,Apmaan Ki Aag,1990.0,131.11078355314197,"Action, Comedy, Crime",5.3,27.0,Sardar Talukdar,Adil Amaan,Rakesh Bedi,Dasharat,5.9,5.4,5.3,5.4,5.4
1198,Apna Asmaan,2007.0,110.0,"Drama, Sci-Fi",6.2,164.0,Kaushik Roy,Irrfan Khan,Shobana,Dhruv Piyush Panjuani,7.1,6.6,6.2,6.2,6.1
1200,Apna Bana Lo,1982.0,131.11078355314197,"Drama, Family",5.7,22.0,J. Om Prakash,Jeetendra,Rekha,Amrish Puri,5.3,5.7,5.8,5.8,6.2
1201,Apna Banake Dekho,1962.0,131.11078355314197,Romance,5.6,5.0,Jagdish Nirula,Asha Parekh,Manoj Kumar,Mohan Choti,6.7,6.8,5.5,5.7,5.9
1202,Apna Bhi Koi Hota,1984.0,131.11078355314197,Drama,6.2,2029.1238422863191,Girish Ranjan,Kavita,Sunil Pandey,Seema Deo,6.2,6.2,5.9,6.2,6.3
1203,Apna Desh,1972.0,131.11078355314197,"Action, Comedy, Drama",6.3,108.0,Jambulingam,Rajesh Khanna,Mumtaz,Om Prakash,6.4,6.4,6.1,5.7,5.5
1204,Apna Desh Praye Log,1989.0,131.11078355314197,"Action, Drama, Family",3.8,9.0,Pradeep Hooda,Sumeet Saigal,Sonu Walia,Moon Moon Sen,3.5,4.3,4.9,5.0,5.5
1207,Apna Ghar,1989.0,131.11078355314197,"Drama, Family, Thriller",6.2,2029.1238422863191,Kalpataru,Pallavi Joshi,Rishi Kapoor,Shashi Kapoor,6.2,6.2,6.3,5.8,6.3
1208,Apna Ghar,1960.0,131.11078355314197,"Drama, Family",4.6,5.0,Ram Pahwa,Shyama,Prem Nath,Nanda,6.1,5.9,6.0,5.2,6.2
1209,Apna Ghar Apni Kahani,1968.0,131.11078355314197,Drama,6.2,2029.1238422863191,Phani Majumdar,Shekhar,Bina Rai,Mumtaz,6.3,6.5,6.4,6.6,6.3
1210,Apna Haath Jagannath,1960.0,173.0,Comedy,6.8,25.0,Mohan Segal,Kishore Kumar,Sayeeda Khan,Nasir Hussain,6.5,6.0,6.6,6.4,5.9
1211,Apna Kaun,1996.0,131.11078355314197,Mystery,6.2,2029.1238422863191,Uday Shankar Pani,Satyendra Kapoor,Pramode Kumar,Asha Sharma,6.2,6.2,6.2,6.2,6.0
1212,Apna Khoon,1978.0,131.11078355314197,"Action, Comedy, Crime",5.7,15.0,Babbar Subhash,Shashi Kapoor,Hema Malini,Ashok Kumar,6.3,6.2,6.1,5.2,5.4
1213,Apna Khoon Apna Dushman,1969.0,131.11078355314197,Action,6.2,2029.1238422863191,Kamran,Dara Singh,Anjum,Mumtaz Begum,6.2,6.2,6.1,6.2,5.7
1215,Apna Sapna Money Money,2006.0,134.0,"Comedy, Musical, Romance",5.3,1921.0,Sangeeth Sivan,Riteish Deshmukh,Shreyas Talpade,Riya Sen,5.2,5.5,5.5,4.6,6.1
1216,Apnapan,1977.0,133.0,"Drama, Romance",6.5,75.0,J. Om Prakash,Jeetendra,Sanjeev Kumar,Reena Roy,5.3,6.7,5.8,5.8,5.9
1218,Apne,2007.0,173.0,"Drama, Sport",6.0,2868.0,Anil Sharma,Dharmendra,Sunny Deol,Bobby Deol,5.8,5.2,4.8,5.6,6.4
1219,Apne 2,2021.0,131.11078355314197,Drama,6.2,2029.1238422863191,Anil Sharma,Sunny Deol,Bobby Deol,Dharmendra,5.0,5.4,5.3,5.6,6.3
1220,Apne Apne,1987.0,131.11078355314197,"Drama, Family",6.0,27.0,Ramesh Behl,Jeetendra,Rekha,Karan Shah,5.3,5.7,6.1,5.8,6.2
1222,Apne Begaane,1989.0,137.0,"Drama, Romance",6.2,2029.1238422863191,Madhu Tejpal,A.K. Hangal,Shreeram Lagoo,Ananth Narayan Mahadevan,6.2,6.1,6.2,6.2,5.9
1223,Apne Dam Par,1996.0,155.0,"Action, Drama",5.6,43.0,Arshad Khan,Mithun Chakraborty,Shilpa Shirodkar,Irfan Kamal,5.3,4.5,5.9,4.6,5.6
1224,Apne Dushman,1975.0,120.0,"Crime, Drama, Mystery",6.2,13.0,Kailash Bhandari,Dharmendra,Sanjeev Kumar,Rakesh Pandey,5.8,6.7,6.0,6.2,6.3
1225,Apne Huye Paraye,1964.0,131.11078355314197,"Drama, Family",6.1,20.0,Ajit Chakraborty,Mala Sinha,Manoj Kumar,Shashikala,6.3,6.8,6.5,6.1,6.2
1226,Apne Paraye,1980.0,123.0,"Drama, Family, Comedy",6.8,164.0,Basu Chatterjee,Shabana Azmi,Amol Palekar,Girish Karnad,6.7,6.6,6.2,6.6,6.8
1227,Apne Paraye,1982.0,131.11078355314197,Drama,6.2,2029.1238422863191,Mahender Kumar,Asrani,Rita Bhaduri,Nalin Dave,5.4,6.1,6.2,6.2,6.3
1228,Apne Rang Hazaar,1975.0,124.0,"Drama, Romance",6.1,14.0,Ravi Tandon,Sanjeev Kumar,Leena Chandavarkar,Danny Denzongpa,6.4,6.2,5.6,6.4,5.9
1233,Apradh,1972.0,128.0,"Action, Thriller, Romance",6.8,71.0,Feroz Khan,Feroz Khan,Mumtaz,Prem Chopra,5.9,6.4,6.2,5.4,6.8
1234,Apradhi,1992.0,131.11078355314197,"Action, Crime, Drama",4.7,45.0,K. Ravi Shankar,Vikas Anand,Aparajita,Arun Bakshi,5.4,5.0,5.2,4.9,5.7
1235,Apradhi,1949.0,131.11078355314197,"Crime, Drama, Thriller",6.3,7.0,Yeshwant Pethkar,Madhubala,Ram Singh,Leela Pandey,6.8,6.2,6.3,6.2,6.1
1236,Apradhi,1974.0,122.0,Drama,7.3,6.0,Jugal Kishore,Kiran Kumar,Yogeeta Bali,Imtiaz,5.6,5.9,6.7,6.0,6.3
1238,Apradhi Kaun,2000.0,131.11078355314197,Thriller,4.8,6.0,Mohan Bhakri,Ram Asra,Mehak Dhanoa,Madhu,5.1,4.8,6.2,4.5,5.9
1239,Apradhi Kaun?,1957.0,131.0,Mystery,7.5,68.0,Asit Kumar Sen,Abhi Bhattacharya,Mala Sinha,Gajanan Jagirdar,6.6,6.4,6.7,7.4,6.0
1240,Apradhi Kaun?,1982.0,131.11078355314197,Thriller,6.0,13.0,Mohan Bhakri,Javed Khan,Rajni Sharma,Arpana Choudhary,5.7,6.4,6.2,4.5,5.9
1241,Apradhini,1992.0,131.11078355314197,Action,6.2,2029.1238422863191,Vinod Sharma,Vikas Anand,Leena Das,Raja Duggal,5.4,5.5,6.2,6.2,5.7
1242,April Fool,1964.0,154.0,"Comedy, Romance, Thriller",6.1,32.0,Subodh Mukherji,Saira Banu,Biswajit Chatterjee,Jayant,6.2,6.1,6.2,6.6,6.1
1244,Apsara,1961.0,131.11078355314197,Drama,6.2,2029.1238422863191,V.M. Vyas,Pradeep Kumar,Padmini,B.M. Vyas,6.1,6.4,5.9,6.3,6.3
1247,Arab Ka Saudagar,1956.0,131.11078355314197,Drama,6.2,2029.1238422863191,S.D. Narang,Pradeep Kumar,Smriti Biswas,Shashikala,6.1,6.2,6.5,5.7,6.3
1248,Arab Ka Sitara,1961.0,131.11078355314197,Action,6.2,2029.1238422863191,R K Rehman,Indira,Kamran,Sheila Kashmiri,6.2,5.8,6.0,6.2,5.7
1252,Arab Ke Lal,1964.0,131.11078355314197,Drama,6.2,2029.1238422863191,A. Shamsheer,Indira,Shyam Kumar,Samar Roy,6.2,6.1,6.2,6.1,6.3
1253,Arabian Nights,1946.0,131.11078355314197,"Adventure, Fantasy",3.6,7.0,Niren Lahiri,Kanan Devi,Nawab,Molina,3.6,3.6,3.6,5.7,5.7
1254,Aradhana,1969.0,169.0,"Drama, Musical, Romance",7.6,1722.0,Shakti Samanta,Rajesh Khanna,Sharmila Tagore,Sujit Kumar,6.4,6.9,6.1,6.6,6.4
1255,Aranyaka,1994.0,90.0,Drama,6.5,50.0,Apurba Kishore Bir,Mohan Gokhale,Yagnaseni Jena,Sanjana Kapoor,6.5,6.5,6.4,5.9,6.3
1256,Arasatchi,2004.0,131.11078355314197,"Action, Crime, Drama",5.9,50.0,N. Maharajan,Lara Dutta,Manivannan,Raghuvaran,5.9,5.1,5.5,4.9,5.7
1257,Archana,1974.0,131.11078355314197,"Drama, Family",6.2,11.0,Satpal,Mala Sinha,Sanjeev Kumar,Snehlata,6.3,6.7,6.0,6.1,6.2
1259,Ardh Satya,1983.0,130.0,"Crime, Drama",8.2,1599.0,Govind Nihalani,Om Puri,Smita Patil,Amrish Puri,6.4,6.2,5.8,7.1,6.2
1260,Ardhangini,1959.0,131.11078355314197,"Family, Romance",6.1,40.0,Ajit Chakraborty,Meena Kumari,Raaj Kumar,Shubha Khote,6.7,6.5,5.8,6.1,6.3
1261,Ardhangini Ek Ardhsatya,2016.0,131.11078355314197,Drama,6.2,2029.1238422863191,Reema Mukharjee,Subrat Dutta,Reema Lagoo,Arjun Rajput,6.5,6.6,6.2,6.2,6.3
1262,Arjun,1985.0,154.0,"Action, Crime, Drama",7.2,866.0,Rahul Rawail,Sunny Deol,Dimple Kapadia,Raj Kiran,5.0,5.4,6.1,5.4,5.7
1264,Arjun Devaa,2001.0,133.0,"Action, Crime, Musical",3.6,21.0,Imran Khan,Mithun Chakraborty,Puru Rajkumar,Rutika Singh,5.3,3.2,3.6,4.9,5.7
1265,Arjun Pandit,1976.0,131.11078355314197,"Drama, Family",7.5,62.0,Hrishikesh Mukherjee,Sanjeev Kumar,Srividya,Ashok Kumar,6.4,7.5,6.1,7.1,6.2
1266,Arjun Pandit,1999.0,150.0,"Action, Crime, Romance",5.2,797.0,Rahul Rawail,Sunny Deol,Juhi Chawla,Saurabh Shukla,5.0,5.7,5.6,5.4,5.7
1267,Arjun Patiala,2019.0,107.0,"Action, Comedy",4.3,1204.0,Rohit Jugraj,Diljit Dosanjh,Kriti Sanon,Varun Sharma,5.8,5.9,5.4,4.7,5.4
1268,Arjun V/S Destiny,2009.0,46.0,Mystery,6.2,2029.1238422863191,Sidharth Sharma,Kenneth Desai,Gaurav Ghatnekar,Akshat Trivedi,6.2,6.2,6.2,6.2,6.0
1269,Arjun: The Warrior Prince,2012.0,96.0,"Animation, Action, Adventure",6.8,1534.0,Arnab Chaudhuri,Pavan Buragohain,K.K. Raina,Yudhveer Bakoliya,6.8,6.9,6.8,6.8,5.8
1270,Armaan,1953.0,130.0,"Drama, Family",6.8,19.0,Fali Mistry,Dev Anand,Madhubala,Shakila,6.8,7.1,6.0,6.7,6.2
1272,Armaan,2003.0,158.0,"Drama, Family, Romance",5.2,1096.0,Honey Irani,Amitabh Bachchan,Anil Kapoor,Preity Zinta,6.1,5.3,6.1,5.2,6.0
1273,Armaan,1981.0,131.11078355314197,History,4.6,25.0,Anand Sagar,Raj Babbar,Ranjeeta Kaur,Shammi Kapoor,5.6,5.6,5.9,5.2,6.3
1275,Army,1996.0,153.0,"Action, Drama",4.3,1614.0,Raam Shetty,Sridevi,Shah Rukh Khan,Harish,5.6,6.4,5.3,4.6,5.6
1276,Arohan,2010.0,126.0,"Drama, Family, Music",5.3,9.0,Pinaki Chaudhuri,Rituparna Sengupta,Samadarshi Dutta,Soumitra Chatterjee,4.4,5.3,5.8,5.3,5.5
1277,Around the World,1967.0,178.0,"Comedy, Romance",6.3,97.0,Pachhi,Raj Kapoor,Rajshree,Ameeta,6.9,6.2,6.6,5.4,5.8
1278,Arpan,1983.0,144.0,"Drama, Romance",6.2,74.0,J. Om Prakash,Jeetendra,Reena Roy,Parveen Babi,5.3,5.7,6.2,5.8,5.9
1279,Arpan,1957.0,131.11078355314197,"Drama, Thriller",6.9,9.0,Chetan Anand,Nimmi,Sheila Ramani,Sitara,6.3,6.4,6.9,7.0,6.0
1281,Art of Murder,2016.0,112.0,"Crime, Drama, Mystery",6.2,2029.1238422863191,V.K. Choudhary,Atul Hanwat,Praveen Maheswari,Priya Sharma,6.6,6.6,6.2,6.6,6.3
1283,Arth,1982.0,138.0,"Drama, Romance",7.9,1308.0,Mahesh Bhatt,Shabana Azmi,Kulbhushan Kharbanda,Smita Patil,6.7,5.8,6.4,5.5,5.9
1285,Article 15,2019.0,130.0,"Crime, Drama, Mystery",8.2,25706.0,Anubhav Sinha,Ayushmann Khurrana,Nassar,Manoj Pahwa,7.0,6.8,6.7,5.7,6.3
1286,Arvind Desai Ki Ajeeb Dastaan,1978.0,118.0,Drama,6.9,137.0,Saeed Akhtar Mirza,Dilip Dhawan,Anjali Paigankar,Shreeram Lagoo,6.6,6.9,6.2,6.8,6.3
1287,Aryan,1988.0,181.0,"Action, Drama",7.0,283.0,Priyadarshan,Mohanlal,Ramya Krishnan,Bob Christo,6.5,5.6,5.5,6.2,5.6
1288,Aryan: Unbreakable,2006.0,135.0,"Action, Drama, Sport",4.4,307.0,Abhishek Kapoor,Sohail Khan,Sneha Ullal,Inder Kumar,4.9,4.7,4.8,6.4,6.4
1289,Aryans,2017.0,101.0,"Comedy, History",6.2,2029.1238422863191,Anmol Mishra,Tom Alter,Eloise Antonie,Keiran Arthur,5.8,6.2,6.2,6.2,6.2
1291,Arzoo,1950.0,128.0,"Musical, Romance",7.0,49.0,Shaheed Latif,Kamini Kaushal,Dilip Kumar,Shashikala,6.6,6.9,6.5,6.7,6.2
1292,Arzoo,1965.0,177.0,"Drama, Musical, Romance",7.1,243.0,Ramanand Sagar,Rajendra Kumar,Sadhana,Feroz Khan,6.4,6.9,6.7,6.6,6.4
1293,As the river flows,2015.0,100.0,Drama,6.2,2029.1238422863191,Bidyut Kotoky,Victor Banerjee,Bidita Bag,Preeti Jhangiani,6.5,6.1,5.2,6.2,6.3
1294,Asambhav,2004.0,139.0,"Action, Adventure, Drama",3.4,577.0,Rajiv Rai,Arjun Rampal,Naseeruddin Shah,Priyanka Chopra Jonas,5.4,6.3,5.3,5.8,5.8
1295,Asambhava,1984.0,131.11078355314197,Drama,6.4,12.0,Jagdish Banerjee,Master Bhagwan,Rohini Hattangadi,Saeed Jaffrey,6.1,6.4,6.3,6.4,6.3
1296,Asana Travelogue,2012.0,105.0,"Documentary, History",6.7,81.0,Jan Schmidt-Garre,B.K.S. Iyengar,Patthabi Jois,Sri T. Krishnamacharya,6.7,6.7,6.7,6.7,8.0
1297,Asar,2007.0,145.0,"Drama, Comedy, Family",6.2,2029.1238422863191,Dinesh Chaudhary,Sangeeta Choudhary,Uttar Kumar,Raju Maan,6.2,6.2,6.9,6.2,6.4
1298,Asar 2,2016.0,110.0,Family,6.2,2029.1238422863191,Dinesh Chaudhary,Uttar Kumar,Raju Maan,Arvind Malik,6.2,6.2,6.2,6.2,6.1
1299,Ascharyachakit!,2018.0,90.0,"Drama, Romance",4.9,542.0,Samit Kakkad,Priyanka Bose,Vaibhav Raj Gupta,Ankit Raaj,5.6,4.9,4.9,5.4,5.9
1301,Aseema: Beyond Boundaries,2009.0,131.11078355314197,"Drama, Romance",4.9,18.0,Sisir Misra,Gracy Singh,Asseem Merchant,Neha Pendse,5.2,4.9,4.9,5.6,5.9
1304,Asha Jyoti,1984.0,142.0,"Drama, Family, Romance",6.3,44.0,Narayana Rao Dasari,Rajesh Khanna,Reena Roy,Rekha,6.4,5.7,6.1,5.5,6.0
1305,Ashaant,1993.0,141.0,"Action, Thriller",5.2,522.0,Keshu Ramsay,Akshay Kumar,Vishnuvardhan,Ashwini Bhave,5.5,5.7,5.7,5.3,5.6
1306,Ashanti,1982.0,131.11078355314197,"Action, Adventure, Crime",5.8,107.0,Umesh Mehra,Rajesh Khanna,Zeenat Aman,Parveen Babi,6.4,6.4,6.2,5.4,5.7
1308,Ashiana,1952.0,104.0,"Drama, Romance",7.6,49.0,B. Trilochan,Nargis,Raj Kapoor,Shivraj,7.3,7.4,7.6,7.6,5.9
1310,Ashiq C.I.D.,1973.0,131.11078355314197,Action,6.2,2029.1238422863191,Raj Babu,Bharati Devi,Krishna Ghattamaneni,Jyothi Lakshmi,6.2,6.6,6.2,6.2,5.7
1312,Ashley,2017.0,103.0,Thriller,3.7,12.0,Kewal Singh,Rishi Bhutani,Dolly Chawla,Gurleen Chopra,4.2,4.2,5.8,5.4,5.9
1313,Ashok Chakra: Tribute to Real Heroes,2010.0,86.0,Action,4.8,8.0,S.P. Muneshwar,Rajan Verma,Sudesh Berry,Arun Bakshi,4.8,5.7,5.2,4.8,5.7
1314,Ashok Vatika,2018.0,97.0,Drama,9.3,7.0,Rahul Mallick,Kunj Anand,Sanjay Bishnoi,Paras Zutshi,9.3,9.3,9.3,9.3,6.3
1315,Ashoka the Great,2001.0,180.0,"Action, Biography, Drama",6.5,13502.0,Santosh Sivan,Shah Rukh Khan,Kareena Kapoor,Danny Denzongpa,6.6,5.7,5.6,6.7,6.7
1317,Ashray,1983.0,131.11078355314197,Drama,6.2,2029.1238422863191,Biplab Roy Chowdhury,Anita Das,Daya Dongre,Shafi Inamdar,6.2,5.4,5.2,6.4,6.3
1319,Ashwa: The Black Horse,1993.0,131.11078355314197,Drama,6.5,6.0,Shyam Ranjankar,Yogesh Chikne,Sadhu Meher,Sachin Shankar,6.5,7.2,6.5,6.5,6.3
1320,Ashwani,1991.0,131.11078355314197,Drama,6.6,8.0,Bhanuchander,Shashi Dhar,Janardanan,Vallabaneni Janardhan,6.6,6.4,6.6,6.4,6.3
1323,Asli Haqdaar,1990.0,131.11078355314197,Action,6.2,2029.1238422863191,K.D. Singh,Sadashiv Amrapurkar,Rakesh Bedi,Sonika Gill,5.4,5.4,5.8,6.2,5.7
1324,Asli Naqli,1986.0,128.0,Drama,4.3,38.0,Sudarshan Nag,Shatrughan Sinha,Rajinikanth,Anita Raj,5.4,5.4,4.9,5.1,6.3
1325,Asli-Naqli,1962.0,145.0,"Drama, Musical, Romance",7.5,257.0,Hrishikesh Mukherjee,Dev Anand,Sadhana,Nasir Hussain,6.8,6.9,6.6,7.1,6.4
1326,Asliyat,1974.0,131.11078355314197,Thriller,6.2,2029.1238422863191,Raghunath Singh,Aruna Irani,Jagdeep,Farida Jalal,6.2,5.8,5.6,6.2,5.9
